Found 1614 results
17525980	Altered functional connectivity of primary visual cortex in early blindness.	Department of Radiology, Xuanwu Hospital of Capital University of Medical Sciences, Beijing, China.
22715328	Scale-Free and Multifractal Time Dynamics of fMRI Signals during Rest and Task.	Life Science Division, Biomedical Imaging Department, NeuroSpin Center, Commissariat à l'Energie Atomique et aux Energies Alternatives Gif-sur-Yvette, France.
19878723	White matter microstructure underlying default mode network connectivity in the human brain.	Department of Psychiatry, University Rostock, Rostock, Germany.
22484520	Age differences in default and reward networks during processing of personally relevant information.	Rotman Research Institute at Baycrest, Toronto, Ontario, Canada. cgrady@rotman-baycrest.on.ca
22090506	Lifelong bilingualism maintains white matter integrity in older adults.	Rotman Research Institute at Baycrest, Toronto, Ontario M6A2E1, Canada. gigi_luk@gse.harvard.edu
22102841	Altered amygdala resting-state functional connectivity in post-traumatic stress disorder.	Mental Health Service, Veteran's Administration Ann Arbor Healthcare System Ann Arbor, MI, USA.
20570737	Low frequency fluctuations reveal integrated and segregated processing among the cerebral hemispheres.	Phyllis Green and Randolph Cōwen Institute for Pediatric Neuroscience at the NYU Langone Medical Center, New York, NY 10016, USA.
23227153	Age-related differences in test-retest reliability in resting-state brain functional connectivity.	Department of Biomedical Engineering, University of Wisconsin-Madison, Madison, Wisconsin, United States of America.
21915941	Characterization of neuromagnetic brain rhythms over time scales of minutes using spatial independent component analysis.	Low Temperature Laboratory, Brain Research Unit, Aalto University School of Science, Aalto, Finland. pavan@neuro.hut.fi
20592949	Network scaling effects in graph analytic studies of human resting-state FMRI data.	Department of Psychiatry, Brain Mapping Unit, University of Cambridge UK.
23301035	Alterations in regional homogeneity of spontaneous brain activity in late-life subthreshold depression.	Center on Aging Psychology, Key Laboratory of Mental Health, Institute of Psychology, Chinese Academy of Sciences, Beijing, China.
20347878	Intrinsic functional connectivity of the periaqueductal gray, a resting fMRI study.	Department of Psychiatry, Massachusetts General Hospital (MGH), Harvard Medical School, Charlestown, MA 02129, USA. kongj@nmr.mgh.harvard.edu
23270974	Abnormal functional connectivity of the default mode network in remitted late-onset depression.	The Department of Neurology, Affiliated ZhongDa Hospital and Institute of Neuropsychiatry of Southeast University, Nanjing 210009, China.
21531100	Disrupted functional connectivity in social anxiety disorder: a resting-state fMRI study.	Key Laboratory for NeuroInformation of Ministry of Education, School of Life Science and Technology, University of Electronic Science and Technology of China, Chengdu 610054, PR China.
20060479	Graph-theory based parcellation of functional subunits in the brain from resting-state fMRI data.	Department of Diagnostic Radiology, Yale University School of Medicine, New Haven, CT 06520, USA. xilin.shen@yale.edu
22790250	Alterations of directional connectivity among resting-state networks in Alzheimer disease.	Center on Aging Psychology, Key Laboratory of Mental Health, Institute of Psychology, Chinese Academy of Sciences, Beijing, China.
21945276	MRI magnetic field stimulates rotational sensors of the brain.	Department of Neurology, Johns Hopkins University School of Medicine, Baltimore, MD 21287, USA. dale.roberts@jhu.edu
18958233	Bimanual passive movement: functional activation and inter-regional coupling.	Neuroimaging Laboratory, Santa Lucia Foundation Italy. e.macaluso@hsantalucia.it
23175546	Default-mode network disruption in mild traumatic brain injury.	Center for Biomedical Imaging, Department of Radiology, New York University School of Medicine, 660 First Ave, 4th Floor, New York, NY 10016, USA.
21982164	Aberrant default mode network in subjects with amnestic mild cognitive impairment using resting-state functional MRI.	Department of Physics, University of Texas at Arlington, Arlington, TX 76059, USA. mingwu@uta.edu
23077058	Intrinsic amygdala-cortical functional connectivity predicts social network size in humans.	Department of Anatomy and Neurobiology, Boston University School of Medicine, Boston, Massachusetts 02118, USA.
21846504	Alteration of brain default network in subacute phase of injury in concussed individuals: resting-state fMRI study.	Department of Kinesiology, 19 Recreation Building, The Pennsylvania State University, University Park, PA 16802, USA.
23060754	ADHD-200 Global Competition: diagnosing ADHD using personal characteristic data can outperform resting state fMRI measurements.	Department of Psychiatry, University of Alberta Edmonton, AB, Canada.
21259382	Altered default mode network connectivity in Alzheimer's disease--a resting functional MRI and Bayesian network study.	School of Information Science and Technology, Beijing Normal University, Beijing, People's Republic of China.
21151556	Recursive cluster elimination based support vector machine for disease state prediction using resting state functional and effective brain connectivity.	Department of Electrical and Computer Engineering, Auburn University MRI Research Center, Auburn University, Auburn, Alabama, United States of America.
22241165	Increased intrinsic brain activity in the striatum reflects symptom dimensions in schizophrenia.	Department of Psychiatry, Klinikum rechts der Isar, Technische Universität München, Munich, Germany.
19036763	Mammillothalamic functional connectivity and memory function in Wernicke's encephalopathy.	Institute of Behavioral Science in Medicine, Yonsei University College of Medicine, Seoul, Korea.
18504738	Differential interictal activity of the precuneus/posterior cingulate cortex revealed by resting state functional MRI at 3T in generalized vs. partial seizure.	Huaxi MR Research Center, Department of Radiology, West China Hospital of Sichuan University, West China School of Medicine, Chengdu, China.
16899645	Coherent spontaneous activity identifies a hippocampal-parietal memory network.	Mallinckrodt Institute of Radiology, and Department of Neurology, Washington University School of Medicine, 4525 Scott Avenue, St. Louis, MO 63110, USA.
23251595	Effects of apolipoprotein e genotype on the off-line memory consolidation.	State Key Laboratory of Cognitive Neuroscience and Learning, Beijing Normal University, Beijing, China.
21690258	Unconscious priming instructions modulate activity in default and executive networks of the human brain.	CIMeC--Center for Mind/Brain Sciences, University of Trento, Rovereto (TN) 38068, Italy. nicola.depisapia@unitn.it
20493670	Decreased regional homogeneity in insula and cerebellum: a resting-state fMRI study in patients with major depression and subjects at high risk for major depression.	Department of Psychiatry, First Hospital of Shanxi Medical University, Taiyuan, PR China.
21957259	The cortical rhythms of chronic back pain.	Departments of Physiology, Anesthesia, and Surgery, and Rehabilitation Institute of Chicago, Feinberg School of Medicine, Northwestern University, Chicago, Illinois 60610, USA.
21733286	First-episode psychosis is characterized by failure of deactivation but not by hypo- or hyperfrontality.	Benito Menni CASM, Barcelona, Spain.
22907994	Resting state cortico-cerebellar functional connectivity networks: a comparison of anatomical and self-organizing map approaches.	Department of Psychology, University of Michigan, Ann Arbor MI, USA.
20800649	Brain resting state is disrupted in chronic back pain patients.	Dept. de Física, Facultad de Ciencias Exactas y Naturales, Universidad de Buenos Aires, Argentina.
22729957	Functional brain imaging across development.	Department of Child Psychiatry/SGDP, Institute of Psychiatry, P046, King's College London, De Crepigny Park, London, SE5 8AF, UK, katya.rubia@kcl.ac.uk.
22235031	The association between resting functional connectivity and creativity.	Smart Ageing International Research Center, Institute of Development, Aging and Cancer, Tohoku University, Sendai 980-8575, Japan. takehi@idac.tohoku.ac.jp
21300489	Research progress on resting state fMRI of epilepsy.	Department of Radiology, The Affiliated Hospital of Inner Mongolia Medical College, Hohhot 010050, China.
21854952	Slow brain oscillations of sleep, resting state, and vigilance.	Netherlands Institute for Neuroscience, Amsterdam, The Netherlands. e.van.someren@nin.knaw.nl
20972883	Resting developments: a review of fMRI post-processing methodologies for spontaneous brain activity.	Max Planck Institute for Human Cognitive and Brain Sciences, Leipzig, Germany. margulies@cbs.mpg.de
22431294	Intrinsic limbic and paralimbic networks are associated with criminal psychopathy.	The Mind Research Network, Albuquerque, New Mexico; Department of ECE, University of New Mexico, Albuquerque, New Mexico.
20515407	Two distinct neuronal networks mediate the awareness of environment and of self.	University of Liège, Liège, Belgium.
17628434	Functional disintegration in paranoid schizophrenia using resting-state fMRI.	National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences, Beijing 100080, PR China.
22578020	Patterns of altered functional connectivity in mesial temporal lobe epilepsy.	Montreal Neurological Institute, McGill University, Montreal, Québec, Canada.
19945255	Functional epileptic network in left mesial temporal lobe epilepsy detected using resting fMRI.	AA 1105 MCN, Vanderbilt University Institute of Imaging Science, Department of Radiology and Radiological Sciences, Vanderbilt University, Nashville, TN 37232-2310, USA. victoria.morgan@vanderbilt.edu
19350563	Functional connectivity in the default network during resting state is preserved in a vegetative but not in a brain dead patient.	Cyclotron Research Center, University of Liège, Liège, Belgium. mboly@student.ulg.ac.be
22016540	Focal pontine lesions provide evidence that intrinsic functional connectivity reflects polysynaptic anatomical pathways.	Department of Radiology, Xuanwu Hospital of Capital Medical University, Beijing 100053, China.
21255661	Resting state fMRI reveals increased subthalamic nucleus-motor cortex connectivity in Parkinson's disease.	Department of Neurology, University Hospital, Goethe University Frankfurt am Main, Frankfurt am Main, Germany. Simon.Baudrexel@kgu.de
23119084	Amplitude of low-frequency oscillations in first-episode, treatment-naive patients with major depressive disorder: a resting-state functional MRI study.	Institute of Mental Health, Peking University, Beijing, China.
19164577	Hyperactivity and hyperconnectivity of the default network in schizophrenia and in first-degree relatives of persons with schizophrenia.	Department of Brain and Cognitive Sciences, Massachusetts Institute of Technology, Cambridge, MA 02139, USA. swg@mit.edu
21592057	Mobilization and redistribution of default mode network from resting state to task state in amnestic mild cognitive impairment.	Department of Neurology, Affiliated ZhongDa Hospital of Southeast University and The institute of Neuropsychiatry of Southeast University, Nanjing, 210009, China.
20176931	Toward discovery science of human brain function.	Department of Radiology, New Jersey Medical School, Newark, NJ 07103, USA.
20879336	Spatial regularization of functional connectivity using high-dimensional Markov random fields.	Scientific Computing and Imaging Institute, University of Utah, USA. weiliu@sci.utah.edu
22858265	Aberrant limbic and salience network resting-state functional connectivity in panic disorder without comorbidity.	Department of Psychiatry, Leiden University Medical Centre, Leiden, The Netherlands. j.pannekoek@lumc.nl
18454458	The power of spectral density analysis for mapping endogenous BOLD signal fluctuations.	Howard Florey Institute, Centre for Neuroscience, University of Melbourne, Victoria, Australia. eduff@pcomm.hfi.unimelb.edu.au
23028606	Structural and functional changes in subcortical vascular mild cognitive impairment: a combined voxel-based morphometry and resting-state fMRI study.	Department of Neurology, Xuanwu Hospital, Capital Medical University, Beijing, China.
21612005	Functional alterations of large-scale brain networks related to cognitive control in obsessive-compulsive disorder.	Melbourne Neuropsychiatry Centre, The University of Melbourne, Australia. lcocchi@unimelb.edu.au
19357267	Interaction of stimulus-driven reorienting and expectation in ventral and dorsal frontoparietal and basal ganglia-cortical networks.	Department of Neurology, Washington University, 4525 Scott Avenue, St. Louis, MO 63110, USA. gordon@npg.wustl.edu
17878310	Resting-state networks in the infant brain.	Magnetic Resonance Research Center, Department of Clinical Neuroscience, Stockholm Brain Institute, Karolinska Institute, SE-171 77 Stockholm, Sweden. Peter.Fransson@ki.se
19830684	Specific somatotopic organization of functional connections of the primary motor network during resting state.	Rudolf Magnus Institute of Neuroscience, University Medical Center Utrecht, Heidelberglaan 100, Utrecht, The Netherlands. M.P.vandenheuvel@umcutrecht.nl
23029235	Revealing topological organization of human brain functional networks with resting-state functional near infrared spectroscopy.	State Key Laboratory of Cognitive Neuroscience and Learning, Beijing Normal University, Beijing, People's Republic of China.
22792176	Developmental changes of BOLD signal correlations with global human EEG power and synchronization during working memory.	Center for MR-Research, University Children's Hospital, Zurich, Switzerland. lars.michels@kispi.uzh.ch
21900576	Global functional connectivity deficits in schizophrenia depend on behavioral state.	Functional Brain Imaging Center, Wohl Institute for Advanced Imaging, Sourasky Medical Center, Tel Aviv 64239, Israel.
20003916	The resting state questionnaire: An introspective questionnaire for evaluation of inner experience during the conscious resting state.	Centre d'Imagerie-Neurosciences et Applications aux Pathologies, UMR6232 CNRS, CEA, Universités de Caen et Paris Descartes, GIP-Cyceron, Bd Henri Becquerel, BP5229, 14074 Caen, France. delamillieure@cyceron.fr
22766734	A preliminary study targeting neuronal pathways activated following environmental enrichment by resting state functional magnetic resonance imaging.	VISN 17 Center of Excellence for Research on Returning War Veterans, Waco, TX, USA. deborahmlittle@gmail.com
20349109	Graph theoretical analysis of structural and functional connectivity MRI in normal and pathological brain networks.	Centre de Résonance Magnétique Biologique et Médicale, UMR CNRS 6612, Faculté de Médecine, 27 Boulevard Jean Moulin, 13385, Marseille Cedex 05, France. maxime.guye@ap-hm.fr
22521480	Meta-analytic clustering of the insular cortex: characterizing the meta-analytic connectivity of the insula when involved in active tasks.	CCS fMRI, Koelliker Hospital, Turin, Italy. franco.cauda@unito.it
22044475	Neural intrinsic connectivity networks associated with risk aversion in old age.	Department of Behavioral Sciences, Rush University Medical Center, Chicago, IL 60612, USA. Duke_Han@rush.edu
22634855	Modulations of functional connectivity in the healthy and schizophrenia groups during task and rest.	Department of CSEE, University of Maryland, Baltimore County, Baltimore, MD 21250, USA. saima1@umbc.edu
20450959	I know the pain you feel-how the human brain's default mode predicts our resonance to another's suffering.	Klinik für Psychosomatische Medizin und Psychotherapie, Klinikum Rechts der Isar, Technische Universitaet Muenchen, Langerstr. 3, D-81675 Munich, Germany. alexander.otti@roe.med.tum.de
19783409	Functional brain imaging in 14 patients with dissociative amnesia reveals right inferolateral prefrontal hypometabolism.	Department of Physiological Psychology, University of Bielefeld, P.O. Box 100131, 33501 Bielefeld, Germany. matthias.brand@uni-due.de
21484954	Changes in resting-state brain networks in writer's cramp.	Department of Neurology, University of Lübeck, Lübeck, Germany. bahram.mohammadi@neuro.uni-luebeck.de
11835612	Detection of functional connectivity using temporal correlations in MR images.	Department of Diagnostic Radiology, Yale University School of Medicine, 333 Cedar Street, Fitkin Basement, PO Box 208042, New Haven, CT 06520-8042, USA. chell@boreas.med.yale.edu
21381103	Pseudo-continuous transfer insensitive labeling technique.	Department of Bioengineering, University of Illinois at Urbana-Champaign, Urbana, Illinois 61801, USA. couyang2@illinois.edu
20688176	Anatomical differences and network characteristics underlying smoking cue reactivity.	Neuroimaging Research Branch, Intramural Research Program, National Institute on Drug Abuse, NIH, Baltimore, MD 21224, USA.
20451869	Update on the magnetic resonance imaging core of the Alzheimer's disease neuroimaging initiative.	Department of Radiology, Mayo Clinic, Rochester, MN, USA. jack.clifford@mayo.edu
20123114	Impairments in cognition and resting-state connectivity of the hippocampus in elderly subjects with type 2 diabetes.	School of Clinical Medicine, Southeast University, Nanjing 210009, China.
21878483	Laterality patterns of brain functional connectivity: gender effects.	National Institute on Alcohol Abuse and Alcoholism, Bethesda, MD 20892, USA. tomasi@bnl.gov
20956328	White matter maturation reshapes structural connectivity in the late developing human brain.	Department of Radiology, University Hospital Center and University of Lausanne, 1011 Lausanne, Switzerland. patric.hagmann@epfl.ch
19110061	Functional connectivity of the human amygdala using resting state fMRI.	Phyllis Green and Randolph Cowen Institute for Pediatric Neuroscience, NYU Child Study Center, New York, NY 10016, USA. amy.roy@nyumc.org
22012913	Potential pitfall of reduced cerebral perfusion in clinical resting state functional MR imaging.	(blank affiliation)
22341211	Characterizing variation in the functional connectome: promise and pitfalls.	Phyllis Green and Randolph Cowen Institute for Pediatric Neuroscience, New York University Child Study Center, New York, NY 10016, USA.
21643732	The cognitive paradigm ontology: design and application.	Mind Research Network, Albuquerque, NM, USA. jturner@mrn.org
17869543	Low-frequency fluctuations in the cardiac rate as a source of variance in the resting-state fMRI BOLD signal.	Advanced MRI Section, Laboratory of Functional and Molecular Imaging, National Institute of Neurological Disorders and Stroke, National Institutes of Health, 10 Center Drive, Bldg. 10, Rm. B1D-728, Bethesda, MD 20892-1065, USA. shmuelik@mail.nih.gov
22329952	Q&A: What is the Open Connectome Project?	Department of Applied Mathematics and Statistics, John Hopkins University,100 Whitehead Hall, 3400 North Charles Street, Baltimore, MD 21218-2682, USA. joshuav@jhu.edu.
20097544	Resting-state functional network correlates of psychotic symptoms in schizophrenia.	Max Planck Institute for Brain Research, Department of Neurophysiology, Deutschordenstr. 46, 60528 Frankfurt a.M., Germany. rotarska@mpih-frankfurt.mpg.de
23133615	Regional homogeneity within the default mode network in bipolar depression: a resting-state functional magnetic resonance imaging study.	Department of Radiology, Beijing Anding Hospital, Capital Medical University, Beijing, China.
20664609	Correspondence between altered functional and structural connectivity in the contralesional sensorimotor cortex after unilateral stroke in rats: a combined resting-state functional MRI and manganese-enhanced MRI study.	Image Sciences Institute, University Medical Center Utrecht, The Netherlands. maurits@invivonmr.uu.nl
22939873	Iterative approach of dual regression with a sparse prior enhances the performance of independent component analysis for group functional magnetic resonance imaging (fMRI) data.	Department of Brain and Cognitive Engineering, Korea University, Seoul, Republic of Korea.
20655157	A new approach to estimating the signal dimension of concatenated resting-state functional MRI data sets.	Neuroimaging Research Branch, Intramural Research Program, National Institute on Drug Abuse, National Institutes of Health, Baltimore, MD 21224, USA.
22137181	Frontal regional homogeneity increased and temporal regional homogeneity decreased after remission of first-episode drug-naïve major depressive disorder with panic disorder patients under duloxetine therapy for 6 weeks.	Department of Psychiatry, Buddhist Tzu-Chi General Hospital, Taipei Branch, Taipei, Taiwan. t122336257@yahoo.com.tw
23287311	Functional connectivity of left Heschl's gyrus in vulnerability to auditory hallucinations in schizophrenia.	McLean Hospital, Psychotic Disorders Division, Belmont, MA, United States. akshinn@partners.org
20026486	Correlated low-frequency BOLD fluctuations in the resting human brain are modulated by recent experience in category-preferential visual regions.	Department of Psychology, Harvard University, Cambridge, MA 02138, USA.
12498753	Task-independent functional brain activity correlation with skin conductance changes: an fMRI study.	Laboratory of Brain and Cognition, National Institute of Mental Health, Bethesda, Maryland 20892, USA. jpatte@lsuhsc.edu
20308545	Aberrant temporal and spatial brain activity during rest in patients with chronic pain.	Brain Research Unit and Advanced Magnetic Imaging Centre, Low Temperature Laboratory, Aalto University School of Science and Technology, FI-00076 Espoo, Finland. sanna@neuro.hut.fi
22659477	The intrinsic connectivity distribution: a novel contrast measure reflecting voxel level functional connectivity.	Department of Biomedical Engineering, Yale University, New Haven, CT, USA. dustin.scheinost@yale.edu
20668207	Intrinsic connectivity networks, alpha oscillations, and tonic alertness: a simultaneous electroencephalography/functional magnetic resonance imaging study.	INSERM Unité 992, Cognitive Neuroimaging, Gif-sur-Yvette, France. sepideh.sadaghiani@gmail.com
23122880	Alterations in the cortical thickness and the amplitude of low-frequency fluctuation in patients with post-traumatic stress disorder.	Department of Anatomy, Third Military Medical University, 30 Gaotanyan street, Chongqing 400038, China.
21995024	Resting state fMRI-guided fiber clustering.	School of Automation, Northwestern Polytechnical University, Xi'an, China. oct.bob@gmail.com
20932348	Altered resting-state connectivity in subjects at ultra-high risk for psychosis: an fMRI study.	Department of Psychiatry, Seoul National University College of Medicine, Chongno-gu, Seoul, 110-744, Korea.
22342801	Physiological denoising of BOLD fMRI data using Regressor Interpolation at Progressive Time Delays (RIPTiDe) processing of concurrent fMRI and near-infrared spectroscopy (NIRS).	Brain Imaging Center, McLean Hospital, 115 Mill Street, Belmont, MA 02478, USA. bbfrederick@mclean.harvard.edu
18598773	The precuneus/posterior cingulate cortex plays a pivotal role in the default mode network: Evidence from a partial correlation network analysis.	MR Research Center, Department of Clinical Neuroscience, Stockholm Brain Institute, Karolinska Institute, Stockholm, Sweden. Peter.Fransson@ki.se
19684249	Distinct and overlapping functional zones in the cerebellum defined by resting state functional connectivity.	FMRIB Centre, Department of Clinical Neurology, University of Oxford, OX1 9DU Oxford, UK. joreilly@fmrib.ox.ac.uk
22629375	Reduction in inter-hemispheric connectivity in disorders of consciousness.	Department of Neurobiology, Weizmann Institute of Science, Rehovot, Israel.
23254143	Resting-state functional connectivity in adults with childhood emotional maltreatment.	Department of Psychiatry, Leiden University Medical Center, The Netherlands.
17476267	Intrinsic functional architecture in the anaesthetized monkey brain.	Department of Radiology, Washington University in St Louis, Missouri 63110, USA.
22498656	Atlas-based analysis of resting-state functional connectivity: evaluation for reproducibility and multi-modal anatomy-function correlation studies.	The Russell H. Morgan Department of Radiology and Radiological Science, The Johns Hopkins University School of Medicine, Baltimore, MD 21205, USA. afaria1@jhmi.edu
18002729	Application of fractal dimension method of functional MRI time-series to limbic dysregulation in anxiety study.	Institute of Biocybernetics and Biomedical Engineering, Polish Academy of Sciences, 4 Trojdena str., 02-109 Warsaw, Poland. federico@ibib.waw.pl
18367410	Defining functional areas in individual human brains using resting functional connectivity MRI.	Department of Neurology, Washington University School of Medicine, St. Louis, MO 63110, USA. alexc@npg.wustl.edu
22906513	Bootstrapping GEE models for fMRI regional connectivity.	Division of Biostatistics, Washington University School of Medicine, 660 S. Euclid Ave, St. Louis, MO 63110, USA. gina@wubios.wustl.edu
23070370	Functional Alteration of the DMN by Learned Regulation of the PCC Using Real-Time fMRI.	(blank affiliation)
20451623	Effects of repeatability measures on results of fMRI sICA: a study on simulated and real resting-state effects.	Department of Diagnostic Radiology, Oulu University Hospital, Oulu, Finland. jukka.remes@iki.fi
19375260	Sources of functional magnetic resonance imaging signal fluctuations in the human brain at rest: a 7 T study.	Advanced MRI Section, LFMI, NINDS, National Institutes of Health, Bethesda, MD 20892-1065, USA. bianciardim@mail.nih.gov
21872664	Sleep deprivation reduces default mode network connectivity and anti-correlation during rest and task performance.	Cognitive Neuroscience Laboratory, Duke-NUS Graduate Medical School, Singapore.
18465788	Monofractal and multifractal dynamics of low frequency endogenous brain oscillations in functional MRI.	Brain Mapping Unit, Department of Psychiatry, Addenbrooke's Hospital, University of Cambridge, Cambridge, United Kingdom.
22029352	Isolating the sources of widespread physiological fluctuations in functional near-infrared spectroscopy signals.	McLean Hospital, Brain Imaging Center, 115 Mill Street, Belmont, Massachusetts 02478, USA. ytong@mclean.harvard.edu
23279846	Resting state functional MRI connectivity predicts hypothalamus-pituitary-axis status in healthy males.	Max Planck Institute of Psychiatry, Neuroimaging Research Group, Munich, Germany. Electronic address: kiem@mpipsykl.mpg.de.
19028588	Modulation of spontaneous fMRI activity in human visual cortex by behavioral state.	Advanced MRI Section, Laboratory of Functional and Molecular Imaging, National Institute of Neurological Disorders and Stroke, National Institutes of Health, Bethesda, MD 20892-1065, USA. bianciardim@mail.nih.gov
22954259	Regionally specific alterations in functional connectivity of the anterior cingulate cortex in major depressive disorder.	Orygen Youth Health Research Centre, The University of Melbourne, Australia. c.davey@unimelb.edu.au
22542195	Cerebro-cerebellar functional connectivity profile of an epilepsy patient with periventricular nodular heterotopia.	Department of Neurological, Neurosurgical and Behavioral Sciences, University of Siena, Siena, Italy. emilianosantarnecchi@gmail.com
19261421	Investigation of high-resolution functional magnetic resonance imaging by means of surface and array radiofrequency coils at 7 T.	Laboratory for Functional and Metabolic Imaging, Ecole Polytechnique Fédérale de Lausanne, Switzerland. wietske.vanderzwaag@epfl.ch
22510204	Resting-state brain connectivity in patients with Parkinson's disease and freezing of gait.	Department of Neurological Sciences, Second University of Naples, Naples, Italy.
21931738	Self-regulation of amygdala activation using real-time FMRI neurofeedback.	Laureate Institute for Brain Research, Tulsa, Oklahoma, United States of America.
20407579	Advances and pitfalls in the analysis and interpretation of resting-state FMRI data.	Department of Clinical Neuroscience, Imperial College London London, UK.
21549723	Reduced hippocampal activity during encoding in cognitively normal adults carrying the APOE ɛ4 allele.	Department of Veterans Affairs, Sierra-Pacific MIRECC and WRIISC Palo Alto, CA, USA. madamson@stanford.edu
21871534	A preliminary study of the dysregulation of the resting networks in first-episode medication-naive adolescent depression.	Department of Medical Imaging, The First Affiliated Hospital of Medical College, Xi'an Jiaotong University, Xi'an, China.
22772649	Abnormal Modular Organization of Functional Networks in Cognitively Impaired Children with Frontal Lobe Epilepsy.	Department of Radiology, Maastricht University Medical Centre, Maastricht 6202 AZ, The Netherlands.
21831605	Regional homogeneity changes in social anxiety disorder: a resting-state fMRI study.	Mental Health Center, West China Hospital of Sichuan University, Chengdu, China.
21130750	Structural and functional magnetic resonance imaging of autism spectrum disorders.	Christian Sarkine Autism Treatment Center, James Whitcomb Riley Hospital for Children, Indianapolis, IN 46202-5200, USA. kstigler@iupui.edu
23200527	Brain corticostriatal systems and the major clinical symptom dimensions of obsessive-compulsive disorder.	Melbourne Neuropsychiatry Centre, Department of Psychiatry, The University of Melbourne & Melbourne Health, Melbourne, Australia. habj@unimelb.edu.au
20506181	Intrinsic brain connectivity in fibromyalgia is associated with chronic pain intensity.	Martinos Center for Biomedical Imaging, Department of Radiology, Massachusetts General Hospital, 149 Thirteenth Street #2301, Charlestown, MA 02129, USA. vitaly@nmr.mgh.harvard.edu
21871375	Developmental alterations of frontal-striatal-thalamic connectivity in obsessive-compulsive disorder.	University of Michigan Medical School, MI, USA. krd@umich.edu
21151357	Conditional mutual information maps as descriptors of net connectivity levels in the brain.	Unitat de Recerca, Benito Menni C.A.S.M. - CIBERSAM Sant Boi de Llobregat, Barcelona, Spain.
23153969	Evaluation and calibration of functional network modeling methods based on known anatomical connections.	Montreal Neurological Institute, Montreal, QC, Canada; Department of Neurol. and Neurosurg., Montreal, QC, Canada; McGill University, Montreal, QC, Canada.
20621638	Abnormal functional connectivity of default mode sub-networks in autism spectrum disorder patients.	Olin Neuropsychiatry Research Center, Institute of Living, Hartford Hospital, Hartford, CT 06106,USA. massaf@harthosp.org
19446646	Effects of model-based physiological noise correction on default mode network anti-correlations and correlations.	Department of Electrical Engineering, Stanford University, Stanford, CA 94305-5488, USA. catie@stanford.edu
17553704	The cognitive control network: Integrated cortical regions with dissociable functions.	Center for the Neural Basis of Cognition, University of Pittsburgh, PA 15260, USA. mwc4@pitt.edu
21077137	Spatial patterns of intrinsic brain activity in mild cognitive impairment and Alzheimer's disease: a resting-state functional MRI study.	Department of Radiology, Xuanwu Hospital of Capital Medical University, Beijing 100053, China.
22496570	Dynamical properties of BOLD activity from the ventral posteromedial cortex associated with meditation and attentional skills.	Department of Biomedical Sciences, University of Modena and Reggio Emilia, I-41125 Modena, Italy. giuseppe.pagnoni@unimore.it
19110394	Preoperative localization of the sensorimotor area using independent component analysis of resting-state fMRI.	Department of Radiology, Oulu University Hospital, Oulu, Finland. salla-maarit.kokkonen@ppshp.fi
22178142	Changes in the regional homogeneity of resting-state brain activity in minimal hepatic encephalopathy.	Jiangsu Key Laboratory of Molecular Imaging and Functional Imaging, Department of Radiology, Zhongda Hospital, Medical School of Southeast University, Nanjing 210009, China.
22692554	Altered resting state functional connectivity patterns of the anterior prefrontal cortex in obsessive-compulsive disorder.	Department of Psychiatry, Beijing Anding Hospital, Capital Medical University, Beijing, China.
22270350	Reduced caudate volume and enhanced striatal-DMN integration in chess experts.	Key laboratory for Neuroinformation of Ministry of Education, School of Life Science and Technology, University of Electronic Science and Technology of China, Chengdu 610054, China.
21605598	Abnormal functional connectivity in patients with vascular cognitive impairment, no dementia: a resting-state functional magnetic resonance imaging study.	Department of Radiology, Ren Ji Hospital, Jiao Tong University Medical School, Shanghai 200127, PR China.
17991778	Synchronized delta oscillations correlate with the resting-state functional MRI signal.	Neuroimaging Research Branch, National Institute on Drug Abuse, Intramural Research Program, National Institutes of Health, Baltimore, MD 21224, USA.
22851402	Genotypic association of the DAOA gene with resting-state brain activity in major depression.	National Laboratory of Medical Molecular Biology, Institute of Basic Medical Sciences, Chinese Academy of Medical Sciences, and Peking Union Medical College, Tsinghua University, No.5 Dong Dan San Tiao, Beijing 100005, People's Republic of China.
18990709	Low-frequency BOLD fluctuations demonstrate altered thalamocortical connectivity in schizophrenia.	Department of Radiology, University of Michigan, Ann Arbor, MI 48109-0553, USA. rcwelsh@med.umich.edu
21304328	Increased regional homogeneity of blood oxygen level-dependent signals in occipital cortex of early blind individuals.	Department of Radiology, Tianjin Medical University General Hospital, Tianjin, China.
17646086	Cluster analysis detection of functional MRI activity in temporal lobe epilepsy.	Vanderbilt University Institute for Imaging Science, Department of Radiology and Radiological Sciences, Vanderbilt University, 1161 21st Avenue South, Nashville, TN 37232-2310, USA. victoria.morgan@vanderbilt.edu
19446602	A preliminary study of functional connectivity in comorbid adolescent depression.	University of Minnesota Medical School, Department of Psychiatry, Minneapolis, MN, United States. rega0026@umn.edu
22079927	Corticosteroid induced decoupling of the amygdala in men.	Donders Institute for Brain, Cognition and Behaviour, Radboud University Nijmegen, 6500 HB Nijmegen, The Netherlands. m.henckens@donders.ru.nl
22858266	A systematic review of resting-state functional-MRI studies in major depression.	Clinical Research Unit, Brain & Mind Research Institute, The University of Sydney, 94 Mallet Street, Camperdown, NSW 2050, Australia.
