title	citation_count
Psychogenic amnesia and self-identity: a multimodal functional investigation.	1
Changes occur in resting state network of motor system during 4 weeks of motor skill learning.	30
Structural and functional neuroimaging studies of the suicidal brain.	0
Defining neurocognitive networks in the BOLD new world of computed connectivity.	0
BOLD study of stimulation-induced neural activity and resting-state connectivity in medetomidine-sedated rat.	18
Ising-like dynamics in large-scale functional brain networks.	6
Resting-state functional MRI in depression unmasks increased connectivity between networks via the dorsal nexus.	12
Coupling between spontaneous (resting state) fMRI fluctuations and human oculo-motor activity.	12
Modulation of spontaneous fMRI activity in human visual cortex by behavioral state.	28
Longitudinal analysis of neural network development in preterm infants.	27
Dissociating mental states related to doing nothing by means of fMRI pattern classification.	4
Impact of working memory load on FMRI resting state pattern in subsequent resting phases.	29
Resting-state networks in the infant brain.	22
Role of the anterior insula in task-level control and focal attention.	6
Resting state sensorimotor functional connectivity in multiple sclerosis inversely correlates with transcallosal motor pathway transverse diffusivity.	9
Interregional brain interactions in children with unilateral hearing loss.	6
Increased "default mode" activity in adolescents prenatally exposed to cocaine.	10
Detection of functional connectivity using temporal correlations in MR images.	3
Development of the Brain's Default Mode Network from Wakefulness to Slow Wave Sleep.	24
Linking generalized spike-and-wave discharges and resting state brain activity by using EEG/fMRI in a patient with absence seizures.	2
Development of large-scale functional brain networks in children.	22
Aberrant hippocampal subregion networks associated with the classifications of aMCI subjects: A longitudinal resting-state study.	10
Transition from rest to movement: brain correlates revealed by functional connectivity.	18
Changes in regional cerebral blood flow and functional connectivity in the cholinergic pathway associated with cognitive performance in subjects with mild Alzheimer's disease after 12-week donepezil treatment.	14
Correlating the alpha rhythm to BOLD using simultaneous EEG/fMRI: inter-subject variability.	4
Resting state default-mode network connectivity in early depression using a seed region-of-interest analysis: decreased connectivity with caudate nucleus.	15
Differential activity of subgenual cingulate and brainstem in panic disorder and PTSD.	0
Short-term effects of antipsychotic treatment on cerebral function in drug-naive first-episode schizophrenia revealed by "resting state" functional magnetic resonance imaging.	19
Novel approaches to imaging epilepsy by MRI.	13
Differential involvement of striato- and cerebello-thalamo-cortical pathways in tremor- and akinetic/rigid-predominant Parkinson's disease.	3
Interictal functional connectivity of human epileptic networks assessed by intracerebral EEG and BOLD signal fluctuations.	12
From EEG to BOLD: brain mapping and estimating transfer functions in simultaneous EEG-fMRI acquisitions.	4
Abnormal spontaneous brain activity in medication-na\"{\i}ve ADHD children: A resting state fMRI study.	8
Cerebral and functional adaptation with chronic hypoxia exposure: a multi-modal MRI study.	8
Cardiorespiratory effects on default-mode network activity as measured with fMRI.	16
Mapping resting-state brain networks in conscious animals.	28
A method to determine the necessity for global signal regression in resting-state fMRI studies.	22
A simple view of the brain through a frequency-specific functional connectivity measure.	8
BOLD correlates of EEG topography reveal rapid resting-state network dynamics.	16
A whole brain fMRI atlas generated via spatially constrained spectral clustering.	16
Disrupted functional brain connectivity in partial epilepsy: a resting-state fMRI study.	34
Endogenous human brain dynamics recover slowly following cognitive effort.	14
Disrupted brain connectivity networks in drug-naive, first-episode major depressive disorder.	24
The power of spectral density analysis for mapping endogenous BOLD signal fluctuations.	18
Default mode network functional and structural connectivity after traumatic brain injury.	18
Estimation of functional connectivity in fMRI data using stability selection-based sparse partial correlation with elastic net penalty.	11
Abnormal whole-brain functional connection in amnestic mild cognitive impairment patients.	24
Measuring functional connectivity using MEG: methodology and comparison with fcMRI.	12
Resting state and task-induced deactivation: A methodological comparison in patients with schizophrenia and healthy controls.	29
Time lag dependent multimodal processing of concurrent fMRI and near-infrared spectroscopy (NIRS) data suggests a global circulatory origin for low-frequency oscillation signals in human brain.	12
Defining functional SMA and pre-SMA subregions in human MFC using resting state fMRI: functional connectivity-based parcellation method.	18
Relationship between respiration, end-tidal CO2, and BOLD signals in resting-state fMRI.	7
The obese brain: Association of body mass index and insulin sensitivity with resting state network functional connectivity.	13
Topological fractionation of resting-state networks.	41
Default-mode network dysfunction and cognitive impairment in progressive MS.	4
Functional epileptic network in left mesial temporal lobe epilepsy detected using resting fMRI.	16
Genetic control over the resting brain.	21
Disruptions of functional connectivity in the default mode network of comatose patients.	19
Altered functional and anatomical connectivity in schizophrenia.	14
Effects of morphine and alcohol on functional brain connectivity during "resting state":A placebo-controlled crossover study in healthy young men.	23
Default mode network as revealed with multiple methods for resting-state functional MRI analysis.	14
Relationship between functional connectivity and sensory impairment: Red flag or red herring?	12
Criticality in large-scale brain FMRI dynamics unveiled by a novel point process analysis.	10
Abnormal neural activities in first-episode, treatment-na\"{\i}ve, short-illness-duration, and treatment-response patients with major depressive disorder: A resting-state fMRI study.	11
Spontaneous BOLD event triggered averages for estimating functional connectivity at resting state.	19
Acupuncture mobilizes the brain's default mode and its anti-correlated network in healthy subjects.	27
A comprehensive study of whole-brain functional connectivity in children and young adults.	14
Combining spatial and temporal information to explore resting-state networks changes in abstinent heroin-dependent individuals.	8
Default mode network connectivity as a predictor of post-traumatic stress disorder symptom severity in acutely traumatized subjects.	17
The influence of head motion on intrinsic functional connectivity MRI.	20
Plasticity of brain networks in a randomized intervention trial of exercise training in older adults.	20
Dysfunctional connectivity patterns in chronic heroin users: an fMRI study.	4
Atypical prefrontal connectivity in attention-deficit/hyperactivity disorder: pathway to disease or pathological end point?	18
Controlling the false positive rate in fuzzy clustering using randomization: application to fMRI activation detection.	0
Resting state fMRI: A personal history.	26
Simultaneous EEG/functional magnetic resonance imaging at 4 Tesla: correlates of brain activity to spontaneous alpha rhythm during relaxation.	11
Abnormal brain default-mode network functional connectivity in drug addicts.	22
Changes in cerebellar functional connectivity and anatomical connectivity in schizophrenia: A combined resting-state functional MRI and diffusion tensor imaging study.	8
Investigation of acupoint specificity by multivariate granger causality analysis from functional MRI data.	3
Recovery of hippocampal network connectivity correlates with cognitive improvement in mild alzheimer's disease patients treated with donepezil assessed by resting-state fMRI.	9
Functional connectivity of dissociation in patients with psychogenic non-epileptic seizures.	1
Disruption of functional connectivity of the default-mode network in alcoholism.	18
Influence of heart rate on the BOLD signal: the cardiac response function.	23
Functional brain networks and abnormal connectivity in the movement disorders.	12
Test-retest reliability of resting-state connectivity network characteristics using fMRI and graph theoretical measures.	30
Differential modulation of the default mode network via serotonin-1A receptors.	25
Patterns of hemodynamic low-frequency oscillations in the brain are modulated by the nature of free thought during rest.	23
Increased cortical BOLD signal anticipates generalized spike and wave discharges in adolescents and adults with idiopathic generalized epilepsies.	2
Alterations in brain structure and functional connectivity in prescription opioid-dependent patients.	6
Global functional connectivity deficits in schizophrenia depend on behavioral state.	13
Intrinsic connectivity networks, alpha oscillations, and tonic alertness: a simultaneous electroencephalography/functional magnetic resonance imaging study.	14
Functional brain networks develop from a "local to distributed" organization.	27
Co-activation patterns distinguish cortical modules, their connectivity and functional differentiation.	6
Resting-state functional connectivity assessed with two diffuse optical tomographic systems.	11
A preliminary study of functional connectivity in comorbid adolescent depression.	16
Decoupling of the brain's default mode network during deep sleep.	18
Using coherence to measure regional homogeneity of resting-state FMRI signal.	24
Aging influence on functional connectivity of the motor network in the resting state.	6
Brain networks subserving the extraction of sentence information and its encoding to memory.	3
Correction of low-frequency physiological noise from the resting state BOLD fMRI--Effect on ICA default mode analysis at 1.5 T.	10
An improved method for mapping cerebrovascular reserve using concurrent fMRI and near-infrared spectroscopy with Regressor Interpolation at Progressive Time Delays (RIPTiDe).	1
Partitioning of physiological noise signals in the brain with concurrent near-infrared spectroscopy and fMRI.	14
Resting brain connectivity: changes during the progress of Alzheimer disease.	17
Effects of repeatability measures on results of fMRI sICA: a study on simulated and real resting-state effects.	11
Spontaneous resting-state BOLD fluctuations reveal persistent domain-specific neural networks.	12
Regions of interest for resting-state fMRI analysis determined by inter-voxel cross-correlation.	34
Advances in the application of MRI to amyotrophic lateral sclerosis.	6
Changes in resting-state brain networks in writer's cramp.	21
Development of anterior cingulate functional connectivity from late childhood to early adulthood.	24
Distinct resting-state brain activities in heroin-dependent individuals.	4
Double dissociation of two cognitive control networks in patients with focal brain lesions.	15
Functional neuroanatomy of the hypnotic state.	0
Resting-state fMRI study of treatment-na\"{\i}ve temporal lobe epilepsy patients with depressive symptoms.	8
Functional connectivity mapping using the ferromagnetic Potts spin model	7
Default Mode Network in Concussed Individuals in Response to YMCA Physical Stress Test.	25
A personalized history of EEG-fMRI integration.	15
Comparison of functional MR-venography and EPI-BOLD fMRI at 1.5 T.	0
Interactions between different EEG frequency bands and their effect on alpha-fMRI correlations.	9
The resting brain and our self: self-relatedness modulates resting state neural activity in cortical midline structures.	10
Modulation of brain resting-state networks by sad mood induction.	36
Your resting brain CAREs about your risky behavior.	24
Intrinsic functional relations between human cerebral cortex and thalamus.	19
Altered functional-structural coupling of large-scale brain networks in idiopathic generalized epilepsy.	34
Abnormal functional connectivity in patients with vascular cognitive impairment, no dementia: a resting-state functional magnetic resonance imaging study.	12
White matter maturation reshapes structural connectivity in the late developing human brain.	10
Neuronal correlates of spontaneous fluctuations in fMRI signals in monkey visual cortex: Implications for functional connectivity at rest.	6
Classification of Alzheimer disease, mild cognitive impairment, and normal cognitive status with large-scale network analysis based on resting-state functional MR imaging.	15
Negative BOLD responses to epileptic spikes.	2
Exploiting the potential of three dimensional spatial wavelet analysis to explore nesting of temporal oscillations and spatial variance in simultaneous EEG-fMRI data.	4
Control networks in paediatric Tourette syndrome show immature and anomalous patterns of functional connectivity.	21
Altered local coherence in the default mode network due to sevoflurane anesthesia.	18
Role of resting state functional connectivity MRI in presurgical investigation of mesial temporal lobe epilepsy.	4
Use of fNIRS to assess resting state functional connectivity.	13
Whole brain high-resolution functional imaging at ultra high magnetic fields: an application to the analysis of resting state networks.	17
Anticorrelated resting-state functional connectivity in awake rat brain.	20
Enhanced brain correlations during rest are related to memory for recent experiences.	13
Meta-analytical definition and functional connectivity of the human vestibular cortex.	4
Intrinsically organized network for face perception during the resting state.	9
Granger causal influence predicts BOLD activity levels in the default mode network.	20
Functional connectivity in resting-state fMRI: is linear correlation sufficient?	6
Basal functional connectivity within the anterior temporal network is associated with performance on declarative memory tasks.	44
Functional segmentation of the brain cortex using high model order group PICA.	27
Resting-state functional connectivity reflects structural connectivity in the default mode network.	20
The emergence of doing "nothing" as a viable paradigm design.	12
Abnormal medial prefrontal cortex resting-state connectivity in bipolar disorder and schizophrenia.	24
Structural and functional magnetic resonance imaging of autism spectrum disorders.	6
Functional connectivity of the human red nucleus in the brain resting state at 3T.	4
Resting-state activity in development and maintenance of normal brain function.	39
Abnormal amygdala connectivity in patients with primary insomnia: Evidence from resting state fMRI.	2
Social network theory applied to resting-state fMRI connectivity data in the identification of epilepsy networks with iterative feature selection.	10
True associations between resting fMRI time series based on innovations.	0
Low frequency BOLD fluctuations during resting wakefulness and light sleep: a simultaneous EEG-fMRI study.	15
Abnormal baseline brain activity in patients with neuromyelitis optica: a resting-state fMRI study.	6
Quantitative BOLD: mapping of human cerebral deoxygenated blood volume and oxygen extraction fraction: default state.	2
Improving measurement of functional connectivity through decreasing partial volume effects at 7T.	5
Disease state prediction from resting state functional connectivity.	10
fMRI as a Measure of Cognition Related Brain Circuitry in Schizophrenia.	13
Bilateral functional asymmetry disparity in positive and negative schizophrenia revealed by resting-state fMRI.	11
Electrophysiological signatures of resting state networks in the human brain.	18
